время, код ответа, задержка
2020-06-23 18:35:25.904827,200,0.313774
2020-06-23 18:35:26.415413,200,0.268048
2020-06-23 18:35:26.788950,200,0.265879
2020-06-23 18:35:27.157302,200,0.298937
2020-06-23 18:35:27.617510,200,0.271805
2020-06-23 18:35:28.015796,200,0.314479
2020-06-23 18:35:28.435658,200,0.316299
2020-06-23 18:35:28.868742,200,0.240287
2020-06-23 18:35:29.238235,200,0.317791
2020-06-23 18:35:29.666509,200,0.391834
2020-06-23 18:35:30.225545,200,0.25179
2020-06-23 18:35:30.635640,200,0.498554
2020-06-23 18:35:31.497240,200,0.310194
2020-06-23 18:35:31.939911,200,0.254235
2020-06-23 18:35:32.347860,200,0.38529
2020-06-23 18:35:32.893582,200,0.356778
2020-06-23 18:35:33.344161,200,0.2292
2020-06-23 18:35:33.730702,200,0.255998
2020-06-23 18:35:34.106039,200,0.315277
2020-06-23 18:35:34.528376,200,0.258661
2020-06-23 18:35:34.907550,200,0.24854
2020-06-23 18:35:35.322493,200,0.310258
2020-06-23 18:35:35.737881,200,0.249209
2020-06-23 18:35:36.100954,200,0.510983
2020-06-23 18:35:36.857403,200,0.279023
2020-06-23 18:35:37.310122,200,0.289372
2020-06-23 18:35:37.697149,200,0.230743
2020-06-23 18:35:38.047189,200,0.276054
2020-06-23 18:35:38.469648,200,0.263061
2020-06-23 18:35:38.861339,200,0.305746
2020-06-23 18:35:39.333149,200,0.290893
2020-06-23 18:35:39.767963,200,0.259596
2020-06-23 18:35:40.137610,200,0.219639
2020-06-23 18:35:40.465632,200,0.276556
2020-06-23 18:35:40.836035,200,0.269557
2020-06-23 18:35:41.240041,200,0.342832
2020-06-23 18:35:41.699565,200,0.245113
2020-06-23 18:35:42.281455,200,0.248496
2020-06-23 18:35:42.733951,200,0.277139
2020-06-23 18:35:43.127262,200,0.32577
2020-06-23 18:35:43.545140,200,0.297369
2020-06-23 18:35:43.996294,200,0.299508
2020-06-23 18:35:44.459205,200,0.367578
2020-06-23 18:35:44.945608,200,0.327387
2020-06-23 18:35:45.397403,200,0.298344
2020-06-23 18:35:45.809686,200,0.297623
2020-06-23 18:35:46.274593,200,0.231663
2020-06-23 18:35:46.661260,200,0.306125
2020-06-23 18:35:47.179258,200,0.326152
2020-06-23 18:35:47.609389,200,0.25019
2020-06-23 18:35:48.356941,200,0.234457
2020-06-23 18:35:48.818603,200,0.284171
2020-06-23 18:35:49.244596,200,0.253125
2020-06-23 18:35:49.589563,200,0.324154
2020-06-23 18:35:50.062518,200,0.293956
2020-06-23 18:35:50.473960,200,0.264783
2020-06-23 18:35:50.882633,200,0.23952
2020-06-23 18:35:51.369534,200,0.370576
2020-06-23 18:35:51.848701,200,0.28413
2020-06-23 18:35:52.229049,200,0.29679
2020-06-23 18:35:52.711959,200,0.378113
2020-06-23 18:35:53.348476,200,0.395969
2020-06-23 18:35:53.900575,200,0.268453
2020-06-23 18:35:54.332119,200,0.238659
2020-06-23 18:35:54.710284,200,0.384412
2020-06-23 18:35:55.266505,200,0.388254
2020-06-23 18:35:55.799033,200,0.30933
2020-06-23 18:35:56.229226,200,0.287223
2020-06-23 18:35:56.610980,200,0.325766
2020-06-23 18:35:57.121168,200,0.291659
2020-06-23 18:35:57.525337,200,0.307221
2020-06-23 18:35:57.935708,200,0.276462
2020-06-23 18:35:58.359725,200,0.325634
2020-06-23 18:35:58.902624,200,0.44063
2020-06-23 18:35:59.510309,200,0.274902
2020-06-23 18:35:59.892217,200,0.263755
2020-06-23 18:36:00.304268,200,0.258586
2020-06-23 18:36:00.672463,200,0.305861
2020-06-23 18:36:01.091356,200,0.358491
2020-06-23 18:36:01.578416,200,0.256452
2020-06-23 18:36:01.974509,200,0.24741
2020-06-23 18:36:02.318933,200,0.223286
2020-06-23 18:36:02.645552,200,0.262692
2020-06-23 18:36:02.999637,200,0.340636
2020-06-23 18:36:03.457721,200,0.324579
2020-06-23 18:36:03.898534,200,0.322398
2020-06-23 18:36:04.482855,200,0.255685
2020-06-23 18:36:05.131466,200,0.251145
2020-06-23 18:36:05.468932,200,0.248135
2020-06-23 18:36:05.851296,200,0.242142
2020-06-23 18:36:06.242807,200,0.319678
2020-06-23 18:36:06.656884,200,0.229063
2020-06-23 18:36:07.082033,200,0.29695
2020-06-23 18:36:07.510560,200,0.309011
2020-06-23 18:36:07.959367,200,0.286952
2020-06-23 18:36:08.371652,200,0.301516
2020-06-23 18:36:08.761036,200,0.294365
2020-06-23 18:36:09.147757,200,0.247282
2020-06-23 18:36:09.528937,200,0.394774
2020-06-23 18:36:10.368695,200,0.237017
